family,k,draw_idx,L_indiv,bias_primal,var_primal,gap_primal,bias_dual,var_dual,auc_primal,auc_dual
densenet,1,0,0.4604770464906537,0.4604770464906537,0.0,0.0,0.46047704649065374,1.5503787732987882e-17,0.8640609765738227,0.8640609765738227
densenet,1,1,0.4648478383101398,0.4648478383101398,0.0,0.0,0.4648478383101398,1.1468823475461625e-17,0.8282695196184353,0.8282695196184353
densenet,1,2,0.44448468257622276,0.44448468257622276,0.0,0.0,0.4444846825762227,1.3050159450131519e-17,0.8494163219057156,0.8494163219057156
densenet,1,3,0.4831221580865617,0.4831221580865617,0.0,0.0,0.48312215808656167,1.2678526371548609e-17,0.8166223088882447,0.8166223088882447
densenet,1,4,0.49632555056383565,0.49632555056383565,0.0,0.0,0.4963255505638357,1.2400024780462756e-17,0.8134865213839626,0.8134865213839626
densenet,1,5,0.4921387789435777,0.4921387789435777,0.0,0.0,0.4921387789435777,1.2364141648248412e-17,0.8052056707686632,0.8052056707686632
densenet,1,6,0.48759171860643596,0.48759171860643596,0.0,0.0,0.48759171860643596,1.2787445418170397e-17,0.8127816279743867,0.8127816279743867
densenet,1,7,0.43433287788832414,0.43433287788832414,0.0,0.0,0.43433287788832414,1.475124276621317e-17,0.8644430683285463,0.8644430683285462
densenet,1,8,0.47324895433285974,0.47324895433285974,0.0,0.0,0.4732489543328598,1.3166103339076854e-17,0.8245078921710718,0.8245078921710718
densenet,1,9,0.46566576288102596,0.46566576288102596,0.0,0.0,0.46566576288102596,1.0620255346111685e-17,0.8339646631004769,0.8339646631004769
densenet,1,10,0.5699600767196747,0.5699600767196747,0.0,0.0,0.5699600767196751,1.870963327908626e-17,0.8406973833302591,0.8406973833302591
densenet,1,11,0.4583398063131829,0.4583398063131829,0.0,0.0,0.458339806313183,1.4476742536908288e-17,0.8508195209359931,0.850819520935993
densenet,2,0,0.4474049621894889,0.41699773362687625,0.030948308311185547,-0.0005410797485729257,0.421189308005896,0.02621565418359308,0.874173232496245,0.8759321721257476
densenet,2,1,0.45507522272862433,0.4435365603670768,0.011386997234343887,0.00015166512720365954,0.444596917793331,0.010478304935293373,0.8486719017628924,0.8485137948299033
densenet,2,2,0.4897238543251987,0.47611359133538445,0.014298037841447437,-0.0006877748516331827,0.4773436994778964,0.012380154847302293,0.8263524730559435,0.8265105799889325
densenet,2,3,0.45466626044318126,0.4411303501598942,0.013595474577874076,-5.9564294587033384e-05,0.4418810707132444,0.01278518972993689,0.8473609317768585,0.8477430235315819
densenet,2,4,0.47662874074373096,0.4648730687315358,0.013196996680125124,-0.0014413246679299552,0.46402996316425904,0.01259877757947193,0.831958681388179,0.8325318190202641
densenet,2,5,0.5265411174031183,0.4511790516909266,0.08461730671789613,-0.009255241005704518,0.466944314777257,0.059596802625861256,0.8478418403646999,0.8510764447021002
densenet,2,6,0.4763079127171157,0.4386709523853022,0.05014281565704528,-0.01250585532523174,0.43866302768382504,0.03764488503329066,0.856346675801734,0.8602400590265882
densenet,2,7,0.4942321647537067,0.4825682225685657,0.012968211952569982,-0.0013042697674289783,0.48303061468179154,0.01120155007191512,0.8199227911143903,0.820963661756568
densenet,2,8,0.48099565672243083,0.46805810352630633,0.014462762233606557,-0.0015252090374820448,0.4682476045648075,0.012748052157623369,0.8322683074652824,0.8321102005322933
densenet,2,9,0.4652568005955829,0.4561256051988999,0.00824834735811482,0.0008828480385681958,0.45759122382242845,0.007665576773154505,0.8365108435004875,0.8359047669240296
densenet,2,10,0.47398499819835077,0.45819858428525434,0.015268834448139442,0.0005175794649570076,0.4596650932928731,0.014319904905477765,0.8337505599620543,0.8330588421302274
densenet,2,11,0.47179960228860773,0.4346732811734352,0.044652433213576266,-0.007526112098403703,0.43657838471007054,0.0352212175785372,0.8599765474716066,0.8631782128646341
densenet,2,12,0.4707309821998723,0.449330288933942,0.027632974022798903,-0.006232280756868602,0.44827326945076074,0.022457712749111517,0.8461751297794409,0.8496139555719517
densenet,2,13,0.4632358284159509,0.4360827835489515,0.040233893364819355,-0.013080848497819986,0.4298601550068216,0.03337567340912939,0.8557867137473979,0.8592650662731562
densenet,2,14,0.46307140468583985,0.4250771148551985,0.04364446321437418,-0.005650173383732859,0.4293954292346146,0.03367597545122517,0.8646011752615352,0.8655498168594694
densenet,2,15,0.46159382231166135,0.4408124745992703,0.023731715904269757,-0.002950368191878716,0.4416649439174895,0.01992887839417194,0.8493438562280956,0.8510303301799784
densenet,2,16,0.4898652487750068,0.4792228905819104,0.009404710505663345,0.0012376476874330633,0.4809309324225783,0.008934316352428586,0.8171888587314553,0.8167540646657356
densenet,2,17,0.4626624424003968,0.4239238494788871,0.04529878401628523,-0.006560191094775569,0.42689457751213883,0.03576786488825793,0.8638633429075865,0.8663469393132888
densenet,2,18,0.5310494278316262,0.45627419964262694,0.09590004379699565,-0.021124815607996394,0.46763215499004024,0.06341727284158605,0.8431776858415242,0.850114627526417
densenet,2,19,0.4784933086268588,0.46485831017747614,0.016731683060779212,-0.0030966846113965607,0.46334036691183184,0.01515294171502701,0.8275712139977337,0.8284935044401696
densenet,2,20,0.48763046851506975,0.4796131201406004,0.007046124271246988,0.0009712241032223123,0.4809173314928924,0.0067131370221773816,0.817610477219426,0.8173403778755698
densenet,2,21,0.45872751798744293,0.4313328694566186,0.033965759632934335,-0.0065711111021100055,0.4294624310231222,0.029265086964320747,0.8580067985981186,0.8594495243616433
densenet,2,22,0.4740343825485448,0.4351564320175206,0.048456990048705455,-0.009579039517681243,0.4365881757749348,0.03744620677360996,0.8588236844185617,0.8627697699544125
densenet,2,23,0.47890227091230186,0.467884755329032,0.011743289063501756,-0.0007257734802318949,0.46778031814097915,0.011121952771322649,0.8289678252391368,0.8288755961948931
densenet,2,24,0.5174039575149073,0.446011415022107,0.07518619063292306,-0.0037936481401227296,0.46481865646544435,0.052585301049462976,0.850127803104166,0.8520975519776542
densenet,2,25,0.45379091611059197,0.4316189493032335,0.03652368985322175,-0.014351723045863296,0.42398528826994575,0.02980562784064627,0.8595615167725105,0.8630662204537669
densenet,2,26,0.5021464773039994,0.4474208140609955,0.042610419561766415,0.012115243681237509,0.4680188807188186,0.03412759658518082,0.8608066088697989,0.8604838072149463
densenet,2,27,0.45141224444470285,0.4330079661490986,0.021300035120075566,-0.002895756824471296,0.4329357777477931,0.018476466696909506,0.859969959682732,0.8618211283564785
densenet,2,28,0.4729657624598094,0.4462990037737194,0.03414362537065483,-0.00747686668456482,0.44569887493480076,0.027266887525008686,0.848072412975309,0.8509249255579857
densenet,2,29,0.4847872524483477,0.47166649697767776,0.01186488645335051,0.0012558690173194442,0.47375512619471344,0.011032126253634346,0.8271495955097631,0.8259769690900947
densenet,3,0,0.5074665445454168,0.4406877802775824,0.08165166310588173,-0.01487289883804721,0.44505443472202727,0.06241210982338957,0.849798413660439,0.8539487206514005
densenet,3,1,0.4687699342366281,0.443704501509972,0.02973809571680935,-0.004672662990153231,0.4428755337642501,0.025894400472378107,0.8478220769980764,0.8495480776832065
densenet,3,2,0.4814318489868457,0.4610767550413001,0.021185653151661647,-0.0008305592061160216,0.46230666708780677,0.019125181899038994,0.8338559645840471,0.8339086668950432
densenet,3,3,0.4817044905104744,0.4645975828510411,0.018131340871508222,-0.001024433212074849,0.46516300304147007,0.016541487469004332,0.8345147434715012,0.8345147434715011
densenet,3,4,0.4962589765078371,0.4347122022571567,0.051986157517007,0.009560616733673477,0.452883414448854,0.043375562058983255,0.8675722680439537,0.86805976442067
densenet,3,5,0.4776496706945454,0.46147125138844525,0.020209617372661883,-0.004031198066561714,0.45942084355161494,0.018228827142930348,0.8380260349416322,0.8396071042715223
densenet,3,6,0.4532192542297058,0.41599985398983164,0.044065586829983086,-0.0068461865901088825,0.41600988346620177,0.03720937076350417,0.8697132994281799,0.8727239189438457
densenet,3,7,0.4644242011812702,0.4481502614874341,0.016723163594367634,-0.0004492239005315368,0.44864914095027814,0.01577506023099192,0.8454043584811195,0.8454043584811195
densenet,3,8,0.47306015975082616,0.4475439354932946,0.0359436740808489,-0.010427449823317336,0.4431567125211575,0.029903447229668752,0.8466362750006586,0.8511818493240929
densenet,3,9,0.455307212844789,0.42894889836622263,0.03810667425904066,-0.011748359780474338,0.4245656389071261,0.03074157393766285,0.8614126854462569,0.8643442514954282
densenet,3,10,0.4640219357122321,0.4271952410537283,0.04958785591885742,-0.012761161260353593,0.425503558898903,0.03851837681332908,0.8646077630504098,0.8686658409971277
densenet,3,11,0.4752295037498118,0.45817021105640005,0.01862665484283713,-0.0015673621494253775,0.45784404267393763,0.017385461075874332,0.8333948193628291,0.8339284302616669
densenet,3,12,0.46742974146694216,0.45298379553436197,0.017493945017349136,-0.0030479990847689375,0.4511588381064315,0.016270903360510666,0.8421104640438483,0.8433489683522623
densenet,3,13,0.5106504633881789,0.4460468202910538,0.08024923869866858,-0.01564559560154355,0.45023379964467714,0.06041666374350165,0.84993016943793,0.8542846978840022
densenet,3,14,0.4747383933754121,0.4585831515739338,0.01908361893537337,-0.0029283771338950437,0.4569750258538731,0.017763367521539095,0.8372355002766871,0.8387309283512081
densenet,3,15,0.46834891819377394,0.4385914580581121,0.03738003276456146,-0.007622572628899649,0.4352264313922581,0.03312248680151591,0.8519723839890379,0.8547260797385965
densenet,3,16,0.5150736712499381,0.45152225062668494,0.08527549104550036,-0.02172407042224722,0.45106678161605634,0.06400688963388174,0.8449629766265252,0.851280666157211
densenet,3,17,0.45616341725681053,0.4335118567376667,0.025682398705367333,-0.0030308381862234612,0.433646321846594,0.022517095410216403,0.856992279111439,0.8581912566866058
densenet,3,18,0.49589790454291904,0.4364001461245008,0.0748565527875437,-0.015358794369125461,0.4392148987378668,0.05668300580505225,0.8559316451026379,0.8595285778281379
densenet,3,19,0.5092548728480928,0.4463608150729641,0.08391366702058983,-0.02101960924546109,0.44701762670190787,0.062237246146184984,0.8482502832749215,0.8536193312076735
densenet,3,20,0.45443384512668644,0.4207381333552148,0.03509930129459524,-0.0014035895231236384,0.4243277751678329,0.030106069958853413,0.8692719175735855,0.8716303459906716
densenet,3,21,0.46709575987690405,0.431721609378657,0.041848640620885086,-0.006474490122638066,0.43165938116563524,0.035436378711268784,0.8629739914095234,0.8658726185143218
densenet,3,22,0.48572207450104377,0.4688720277927399,0.017119043531733335,-0.0002689968234294571,0.46981019844955674,0.015911876051486987,0.8299757569369416,0.8299098790481962
densenet,3,23,0.4457191222592433,0.42229548428049263,0.025776589416063096,-0.0023529514373124005,0.422460013413949,0.023259108845294172,0.8665215157184643,0.8678753063321828
densenet,3,24,0.47997491838035033,0.4417778039099886,0.04708090638004065,-0.008883791909678918,0.44098277843413247,0.0389921399462179,0.8568802867005718,0.8602071200822154
densenet,3,25,0.46356799676924854,0.43892802107917034,0.03543252811238008,-0.010792552422301871,0.43255022237115703,0.03101777439809148,0.8537247358296661,0.8570976837334316
densenet,3,26,0.48423222099441904,0.46969823818966205,0.015252010488682523,-0.0007180276839255373,0.4702221051784035,0.014010115816015516,0.8297847110595801,0.8298374133705764
