variant_id,family,timm_name,depth_tier,resolution_tier,resolution_px,params_m,lr,batch_size,status,test_loss,test_acc,test_auc,test_precision,test_sensitivity,test_specificity,test_f1,test_mcc,tested_at
coatnet_T1,coatnet,coatnet_nano_rw_224,tiny,lo,384,14.63,0.01,32,done,0.619725,0.699275,0.626123,0.696774,0.974729,0.142336,0.812641,0.225045,2026-07-22T23:26:04
coatnet_T2,coatnet,coatnet_nano_rw_224,tiny,mid,512,14.63,0.01,24,done,0.621512,0.689614,0.619763,0.684932,0.99278,0.076642,0.810612,0.190898,2026-07-22T23:37:12
coatnet_T3,coatnet,coatnet_nano_rw_224,tiny,hi,768,14.63,0.01,10,done,0.615135,0.698068,0.621103,0.695373,0.976534,0.135036,0.812312,0.220397,2026-07-22T23:57:06
coatnet_S1,coatnet,coatnet_0_rw_224,small,lo,384,26.67,0.008,24,done,0.618246,0.688406,0.625181,0.695767,0.949458,0.160584,0.803053,0.183765,2026-07-23T00:08:48
coatnet_S2,coatnet,coatnet_0_rw_224,small,mid,512,26.67,0.008,16,done,0.609251,0.698068,0.633627,0.703753,0.947653,0.193431,0.807692,0.222245,2026-07-23T00:21:03
coatnet_S3,coatnet,coatnet_0_rw_224,small,hi,768,26.67,0.008,8,done,0.617643,0.700483,0.614278,0.694656,0.98556,0.124088,0.814925,0.235121,2026-07-23T00:46:59
coatnet_M1,coatnet,coatnet_1_rw_224,medium,lo,384,40.95,0.006,16,done,0.612221,0.692029,0.628179,0.694915,0.962094,0.145985,0.806964,0.194675,2026-07-23T00:58:40
coatnet_M2,coatnet,coatnet_1_rw_224,medium,mid,512,40.95,0.006,10,done,0.617304,0.688406,0.629318,0.703857,0.922383,0.215328,0.798437,0.197165,2026-07-23T01:14:03
coatnet_M3,coatnet,coatnet_1_rw_224,medium,hi,768,40.95,0.006,6,done,0.611562,0.699275,0.628218,0.704698,0.947653,0.19708,0.808314,0.226768,2026-07-23T02:03:00
coatnet_L1,coatnet,coatnet_2_rw_224,large,lo,384,72.84,0.004,10,done,0.534495,0.698068,0.751693,0.762069,0.797834,0.49635,0.779541,0.302211,2026-07-23T02:16:40
coatnet_L2,coatnet,coatnet_2_rw_224,large,mid,512,72.84,0.004,6,done,0.597167,0.692029,0.658878,0.707351,0.920578,0.229927,0.8,0.211116,2026-07-23T02:39:43
coatnet_L3,coatnet,coatnet_2_rw_224,large,hi,768,72.84,0.004,4,done,0.612562,0.693237,0.621644,0.699468,0.949458,0.175182,0.805513,0.203131,2026-07-23T03:54:09
convnext_T1,convnext,convnext_atto,tiny,lo,384,3.37,0.01,32,done,0.645438,0.669082,0.587189,0.669082,1.0,0.0,0.801737,0.0,2026-07-23T04:05:03
convnext_T2,convnext,convnext_atto,tiny,mid,512,3.37,0.01,24,done,0.640751,0.669082,0.579179,0.669082,1.0,0.0,0.801737,0.0,2026-07-23T04:16:33
convnext_T3,convnext,convnext_atto,tiny,hi,768,3.37,0.01,10,done,0.637251,0.669082,0.5,0.669082,1.0,0.0,0.801737,0.0,2026-07-23T04:28:09
convnext_S1,convnext,convnext_nano,small,lo,384,14.95,0.008,24,done,0.64089,0.669082,0.54012,0.669082,1.0,0.0,0.801737,0.0,2026-07-23T04:39:35
convnext_S2,convnext,convnext_nano,small,mid,512,14.95,0.008,16,done,0.635512,0.669082,0.5,0.669082,1.0,0.0,0.801737,0.0,2026-07-23T04:50:56
